Data;icc
01/09/2005;87,4
01/10/2005;89,7
01/11/2005;87,5
01/12/2005;88,8
01/01/2006;93,7
01/02/2006;92,9
01/03/2006;93,6
01/04/2006;91,9
01/05/2006;90,8
01/06/2006;90,7
01/07/2006;91
01/08/2006;91,4
01/09/2006;90,9
01/10/2006;94,4
01/11/2006;96,1
01/12/2006;98,1
01/01/2007;97,8
01/02/2007;98,7
01/03/2007;96
01/04/2007;96,7
01/05/2007;99,3
01/06/2007;100,4
01/07/2007;98,8
01/08/2007;99,2
01/09/2007;99
01/10/2007;101,5
01/11/2007;102,5
01/12/2007;108,3
01/01/2008;103
01/02/2008;104,3
01/03/2008;108,5
01/04/2008;103,1
01/05/2008;105
01/06/2008;98,4
01/07/2008;94,3
01/08/2008;97,3
01/09/2008;99,9
01/10/2008;90
01/11/2008;84,9
01/12/2008;84,8
01/01/2009;86,3
01/02/2009;84,7
01/03/2009;87,6
01/04/2009;88,3
01/05/2009;90,1
01/06/2009;94,2
01/07/2009;96,6
01/08/2009;96
01/09/2009;97,3
01/10/2009;97,8
01/11/2009;99,5
01/12/2009;97,5
01/01/2010;99,3
01/02/2010;96,6
01/03/2010;98,9
01/04/2010;101,5
01/05/2010;103,5
01/06/2010;105,1
01/07/2010;104,1
01/08/2010;105,8
01/09/2010;106,5
01/10/2010;106
01/11/2010;109,3
01/12/2010;107
01/01/2011;108,3
01/02/2011;108,3
01/03/2011;106,2
01/04/2011;103,3
01/05/2011;102,5
01/06/2011;104,8
01/07/2011;108,8
01/08/2011;104,1
01/09/2011;100,2
01/10/2011;103,5
01/11/2011;105,8
01/12/2011;106,9
01/01/2012;103,6
01/02/2012;106,6
01/03/2012;109,7
01/04/2012;113,2
01/05/2012;112,4
01/06/2012;109,5
01/07/2012;108
01/08/2012;106,7
01/09/2012;107,2
01/10/2012;108,1
01/11/2012;106,7
01/12/2012;105,5
01/01/2013;106,2
01/02/2013;105
01/03/2013;102,3
01/04/2013;103,2
01/05/2013;102,6
01/06/2013;102,3
01/07/2013;99,3
01/08/2013;101,6
01/09/2013;102,1
01/10/2013;101,2
01/11/2013;102,3
01/12/2013;100,5
01/01/2014;98,8
01/02/2014;96,7
01/03/2014;97,5
01/04/2014;96,3
01/05/2014;92,5
01/06/2014;93,3
01/07/2014;94,3
01/08/2014;91,5
01/09/2014;92,2
01/10/2014;91,5
01/11/2014;86,1
01/12/2014;86,5
01/01/2015;80,3
01/02/2015;76,4
01/03/2015;74,3
01/04/2015;75,6
01/05/2015;75
01/06/2015;73,8
01/07/2015;70,6
01/08/2015;69,2
01/09/2015;64,5
01/10/2015;65,2
01/11/2015;66,2
01/12/2015;64,6
01/01/2016;65,2
01/02/2016;68,1
01/03/2016;66,2
01/04/2016;65,7
01/05/2016;70,4
01/06/2016;73
01/07/2016;76,5
01/08/2016;78,5
01/09/2016;79,3
01/10/2016;80,6
01/11/2016;78,4
01/12/2016;73,8
01/01/2017;78,3
01/02/2017;80,5
01/03/2017;83,8
01/04/2017;82,3
01/05/2017;83,9
01/06/2017;83
01/07/2017;82,6
01/08/2017;81,5
01/09/2017;83,6
01/10/2017;85,8
01/11/2017;87,3
01/12/2017;87
01/01/2018;87,7
01/02/2018;87,8
01/03/2018;90,9
01/04/2018;89,2
01/05/2018;88,3
01/06/2018;83,9
01/07/2018;85,2
01/08/2018;84,6
01/09/2018;83
01/10/2018;85,6
01/11/2018;93,2
01/12/2018;92,8
01/01/2019;95,6
01/02/2019;94,4
01/03/2019;91,8
01/04/2019;89,8
01/05/2019;85,9
01/06/2019;87,9
01/07/2019;88,7
01/08/2019;90,2
01/09/2019;89,3
01/10/2019;89,5
01/11/2019;89,5
01/12/2019;91,3
01/01/2020;90,4
01/02/2020;88,3
01/03/2020;80,1
01/04/2020;58,2
01/05/2020;62
01/06/2020;70,9
01/07/2020;78,8
01/08/2020;79,8
01/09/2020;82,7
01/10/2020;82,3
01/11/2020;81,8
01/12/2020;78,4
01/01/2021;75,8
01/02/2021;78
01/03/2021;68,5
01/04/2021;72,5
01/05/2021;76,2
01/06/2021;80,8
01/07/2021;82,4
01/08/2021;80,9
01/09/2021;74,2
01/10/2021;75,9
01/11/2021;74,7
01/12/2021;76
01/01/2022;74,8
01/02/2022;77,7
01/03/2022;75,5
01/04/2022;78,8
01/05/2022;76,2
01/06/2022;79,1
01/07/2022;79,8
01/08/2022;82,2
01/09/2022;86,9
01/10/2022;87,4
01/11/2022;84,3
01/12/2022;87,7
01/01/2023;86,7
01/02/2023;85,5
01/03/2023;87,8
01/04/2023;87,5
01/05/2023;89,5
01/06/2023;91,9
01/07/2023;94,2
01/08/2023;95
01/09/2023;94,9
01/10/2023;92,7
01/11/2023;92,3
01/12/2023;93,2
01/01/2024;90,8
01/02/2024;89,7
01/03/2024;91,3
01/04/2024;93,2
01/05/2024;89,2
01/06/2024;91,1
