Data;INCC-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_INCC12;
1944.01;1,116443E-13;
1944.02;1,122813E-13;
1944.03;1,167407E-13;
1944.04;1,194482E-13;
1944.05;1,188112E-13;
1944.06;1,202445E-13;
1944.07;1,219965E-13;
1944.08;1,194482E-13;
1944.09;1,25341E-13;
1944.10;1,267744E-13;
1944.11;1,294819E-13;
1944.12;1,296411E-13;
1945.01;1,239076E-13;
1945.02;1,231113E-13;
1945.03;1,231113E-13;
1945.04;1,274114E-13;
1945.05;1,2773E-13;
1945.06;1,298004E-13;
1945.07;1,313931E-13;
1945.08;1,325079E-13;
1945.09;1,358525E-13;
1945.10;1,374451E-13;
1945.11;1,430193E-13;
1945.12;1,45249E-13;
1946.01;1,528937E-13;
1946.02;1,543271E-13;
1946.03;1,535308E-13;
1946.04;1,544864E-13;
1946.05;1,562383E-13;
1946.06;1,567161E-13;
1946.07;1,589458E-13;
1946.08;1,61494E-13;
1946.09;1,66909E-13;
1946.10;1,670683E-13;
1946.11;1,683424E-13;
1946.12;1,686609E-13;
1947.01;1,735981E-13;
1947.02;1,764572E-13;
1947.03;1,771019E-13;
1947.04;1,764648E-13;
1947.05;1,844281E-13;
1947.06;1,853837E-13;
1947.07;1,864985E-13;
1947.08;1,888875E-13;
1947.09;1,885689E-13;
1947.10;1,89206E-13;
1947.11;1,888875E-13;
1947.12;1,887282E-13;
1948.01;1,911172E-13;
1948.02;1,909579E-13;
1948.03;1,912764E-13;
1948.04;1,92232E-13;
1948.05;1,923913E-13;
1948.06;1,927098E-13;
1948.07;1,928691E-13;
1948.08;1,928691E-13;
1948.09;1,928691E-13;
1948.10;1,936654E-13;
1948.11;1,936654E-13;
1948.12;1,947802E-13;
1949.01;1,930283E-13;
1949.02;1,927098E-13;
1949.03;1,958951E-13;
1949.04;1,970099E-13;
1949.05;1,981248E-13;
1949.06;2,00673E-13;
1949.07;2,029027E-13;
1949.08;2,102289E-13;
1949.09;2,143698E-13;
1949.10;2,161217E-13;
1949.11;2,173958E-13;
1949.12;2,178736E-13;
1950.01;2,134142E-13;
1950.02;2,161217E-13;
1950.03;2,180328E-13;
1950.04;2,201033E-13;
1950.05;2,213774E-13;
1950.06;2,177143E-13;
1950.07;2,086362E-13;
1950.08;2,102289E-13;
1950.09;2,094326E-13;
1950.10;2,191477E-13;
1950.11;2,191477E-13;
1950.12;2,218552E-13;
1951.01;2,228108E-13;
1951.02;2,247219E-13;
1951.03;2,228108E-13;
1951.04;2,288628E-13;
1951.05;2,293406E-13;
1951.06;2,408076E-13;
1951.07;2,417632E-13;
1951.08;2,492486E-13;
1951.09;2,482931E-13;
1951.10;2,510005E-13;
1951.11;2,514783E-13;
1951.12;2,502042E-13;
1952.01;2,484523E-13;
1952.02;2,484523E-13;
1952.03;2,532302E-13;
1952.04;2,580082E-13;
1952.05;2,580082E-13;
1952.06;2,564155E-13;
1952.07;2,596008E-13;
1952.08;2,611935E-13;
1952.09;2,611935E-13;
1952.10;2,627861E-13;
1952.11;2,627861E-13;
1952.12;2,691567E-13;
1953.01;2,659714E-13;
1953.02;2,691567E-13;
1953.03;2,67564E-13;
1953.04;2,787125E-13;
1953.05;2,72342E-13;
1953.06;2,914537E-13;
1953.07;2,914537E-13;
1953.08;2,89861E-13;
1953.09;2,94639E-13;
1953.10;2,978242E-13;
1953.11;3,010095E-13;
1953.12;3,010095E-13;
1954.01;3,024085E-13;
1954.02;3,043347E-13;
1954.03;3,120394E-13;
1954.04;3,120394E-13;
1954.05;3,274487E-13;
1954.06;3,332272E-13;
1954.07;3,447843E-13;
1954.08;3,544151E-13;
1954.09;3,948647E-13;
1954.10;3,890861E-13;
1954.11;3,929385E-13;
1954.12;3,967908E-13;
1955.01;3,910123E-13;
1955.02;3,910123E-13;
1955.03;3,929385E-13;
1955.04;3,98717E-13;
1955.05;3,948647E-13;
1955.06;3,967908E-13;
1955.07;4,006432E-13;
1955.08;4,006432E-13;
1955.09;4,353142E-13;
1955.10;4,314619E-13;
1955.11;4,314619E-13;
1955.12;4,314619E-13;
1956.01;4,410927E-13;
1956.02;4,507236E-13;
1956.03;4,584282E-13;
1956.04;4,487974E-13;
1956.05;4,526497E-13;
1956.06;4,776899E-13;
1956.07;4,815423E-13;
1956.08;4,950254E-13;
1956.09;5,451058E-13;
1956.10;5,566629E-13;
1956.11;5,528105E-13;
1956.12;5,508843E-13;
1957.01;5,836292E-13;
1957.02;5,836292E-13;
1957.03;5,855554E-13;
1957.04;5,855554E-13;
1957.05;5,855554E-13;
1957.06;5,894077E-13;
1957.07;5,778507E-13;
1957.08;5,817031E-13;
1957.09;5,817031E-13;
1957.10;5,797769E-13;
1957.11;5,855554E-13;
1957.12;5,874816E-13;
1958.01;5,913339E-13;
1958.02;5,932601E-13;
1958.03;6,202264E-13;
1958.04;6,260049E-13;
1958.05;6,37562E-13;
1958.06;6,452666E-13;
1958.07;6,471928E-13;
1958.08;6,626021E-13;
1958.09;7,049779E-13;
1958.10;7,184611E-13;
1958.11;7,435012E-13;
1958.12;7,531321E-13;
1959.01;7,97434E-13;
1959.02;8,43662E-13;
1959.03;9,052994E-13;
1959.04;9,033733E-13;
1959.05;9,033733E-13;
1959.06;8,898901E-13;
