data; tx_desemprego 
01/03/2012;8
01/04/2012;7,8
01/05/2012;7,7
01/06/2012;7,6
01/07/2012;7,5
01/08/2012;7,4
01/09/2012;7,1
01/10/2012;7
01/11/2012;6,8
01/12/2012;6,9
01/01/2013;7,3
01/02/2013;7,8
01/03/2013;8,1
01/04/2013;7,9
01/05/2013;7,7
01/06/2013;7,5
01/07/2013;7,4
01/08/2013;7,2
01/09/2013;7
01/10/2013;6,8
01/11/2013;6,6
01/12/2013;6,3
01/01/2014;6,5
01/02/2014;6,8
01/03/2014;7,2
01/04/2014;7,2
01/05/2014;7,1
01/06/2014;6,9
01/07/2014;7
01/08/2014;7
01/09/2014;6,9
01/10/2014;6,7
01/11/2014;6,6
01/12/2014;6,6
01/01/2015;6,9
01/02/2015;7,5
01/03/2015;8
01/04/2015;8,1
01/05/2015;8,3
01/06/2015;8,4
01/07/2015;8,7
01/08/2015;8,9
01/09/2015;9
01/10/2015;9,1
01/11/2015;9,1
01/12/2015;9,1
01/01/2016;9,6
01/02/2016;10,3
01/03/2016;11,1
01/04/2016;11,3
01/05/2016;11,3
01/06/2016;11,4
01/07/2016;11,7
01/08/2016;11,9
01/09/2016;11,9
01/10/2016;11,9
01/11/2016;12
01/12/2016;12,2
01/01/2017;12,7
01/02/2017;13,3
01/03/2017;13,9
01/04/2017;13,7
01/05/2017;13,4
01/06/2017;13,1
01/07/2017;12,9
01/08/2017;12,7
01/09/2017;12,5
01/10/2017;12,3
01/11/2017;12,1
01/12/2017;11,9
01/01/2018;12,3
01/02/2018;12,7
01/03/2018;13,2
01/04/2018;13
01/05/2018;12,8
01/06/2018;12,6
01/07/2018;12,4
01/08/2018;12,3
01/09/2018;12
01/10/2018;11,9
01/11/2018;11,7
01/12/2018;11,7
01/01/2019;12,2
01/02/2019;12,6
01/03/2019;12,8
01/04/2019;12,6
01/05/2019;12,4
01/06/2019;12,1
01/07/2019;12
01/08/2019;11,9
01/09/2019;11,9
01/10/2019;11,8
01/11/2019;11,3
01/12/2019;11,1
01/01/2020;11,4
01/02/2020;11,8
01/03/2020;12,4
01/04/2020;12,7
01/05/2020;13,1
01/06/2020;13,6
01/07/2020;14,1
01/08/2020;14,8
01/09/2020;14,9
01/10/2020;14,6
01/11/2020;14,4
01/12/2020;14,2
01/01/2021;14,5
01/02/2021;14,6
01/03/2021;14,9
01/04/2021;14,8
01/05/2021;14,7
01/06/2021;14,2
01/07/2021;13,7
01/08/2021;13,1
01/09/2021;12,6
01/10/2021;12,1
01/11/2021;11,6
01/12/2021;11,1
01/01/2022;11,2
01/02/2022;11,2
01/03/2022;11,1
01/04/2022;10,5
01/05/2022;9,8
01/06/2022;9,3
01/07/2022;9,1
01/08/2022;8,9
01/09/2022;8,7
01/10/2022;8,3
01/11/2022;8,1
01/12/2022;7,9
01/01/2023;8,4
01/02/2023;8,6
01/03/2023;8,8
01/04/2023;8,5
01/05/2023;8,3
01/06/2023;8
01/07/2023;7,9
01/08/2023;7,8
01/09/2023;7,7
01/10/2023;7,6
01/11/2023;7,5
01/12/2023;7,4
01/01/2024;7,6
01/02/2024;7,8
01/03/2024;7,9
01/04/2024;7,5
01/05/2024;7,1
